Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,GP,Track Length,Mean Speed
0 days 01:11:50.352000,VER,1,0 days 00:01:28.197000,11,4,,,0 days 00:00:30.777000,0 days 00:00:39.850000,0 days 00:00:17.570000,0 days 01:10:52.932000,0 days 01:11:32.782000,0 days 01:11:50.352000,285,297,264,295,TRUE,SOFT,2,TRUE,Red Bull Racing,0 days 01:10:22.155000,58:14.7,1,Japan,5.807,237.0284704
0 days 00:52:03.526000,HUL,27,0 days 00:01:29.494000,11,4,,,0 days 00:00:31.558000,0 days 00:00:40.238000,0 days 00:00:17.698000,0 days 00:51:05.590000,0 days 00:51:45.828000,0 days 00:52:03.526000,289,302,267,300,TRUE,SOFT,2,TRUE,Haas F1 Team,0 days 00:50:34.032000,38:26.6,1,Japan,5.807,233.5933135
0 days 01:03:39.302000,HAM,44,0 days 00:01:28.766000,11,4,,,0 days 00:00:30.915000,0 days 00:00:40.156000,0 days 00:00:17.695000,0 days 01:02:41.451000,0 days 01:03:21.607000,0 days 01:03:39.302000,285,297,264,293,TRUE,SOFT,2,TRUE,Mercedes,0 days 01:02:10.536000,50:03.1,1,Japan,5.807,235.5090913
0 days 01:04:45.974000,NOR,4,0 days 00:01:28.489000,9,4,,,0 days 00:00:30.800000,0 days 00:00:40.039000,0 days 00:00:17.650000,0 days 01:03:48.285000,0 days 01:04:28.324000,0 days 01:04:45.974000,284,298,263,294,TRUE,SOFT,2,TRUE,McLaren,0 days 01:03:17.485000,51:10.1,1,Japan,5.807,236.2463131
0 days 01:04:29.173000,SAI,55,0 days 00:01:28.682000,8,3,,,0 days 00:00:30.968000,0 days 00:00:39.989000,0 days 00:00:17.725000,0 days 01:03:31.459000,0 days 01:04:11.448000,0 days 01:04:29.173000,286,296,264,294,TRUE,SOFT,2,TRUE,Ferrari,0 days 01:03:00.491000,50:53.1,1,Japan,5.807,235.7321666
0 days 01:12:27.390000,ALO,14,0 days 00:01:28.686000,11,4,,,0 days 00:00:30.964000,0 days 00:00:40.027000,0 days 00:00:17.695000,0 days 01:11:29.668000,0 days 01:12:09.695000,0 days 01:12:27.390000,284,299,264,295,TRUE,SOFT,2,TRUE,Aston Martin,0 days 01:10:58.704000,58:51.3,1,Japan,5.807,235.7215344
0 days 00:30:43.612000,OCO,31,0 days 00:01:29.811000,5,2,,,0 days 00:00:31.505000,0 days 00:00:40.456000,0 days 00:00:17.850000,0 days 00:29:45.306000,0 days 00:30:25.762000,0 days 00:30:43.612000,286,298,264,295,TRUE,SOFT,2,TRUE,Alpine,0 days 00:29:13.801000,17:06.4,1,Japan,5.807,232.7688145
0 days 00:52:30.553000,ALB,23,0 days 00:01:29.714000,8,3,,,0 days 00:00:31.617000,0 days 00:00:40.381000,0 days 00:00:17.716000,0 days 00:51:32.456000,0 days 00:52:12.837000,0 days 00:52:30.553000,285,302,265,299,TRUE,SOFT,2,TRUE,Williams,0 days 00:51:00.839000,38:53.4,1,Japan,5.807,233.0204873
0 days 01:12:09.862000,TSU,22,0 days 00:01:29.413000,17,6,,,0 days 00:00:31.318000,0 days 00:00:40.248000,0 days 00:00:17.847000,0 days 01:11:11.767000,0 days 01:11:52.015000,0 days 01:12:09.862000,285,299,263,298,TRUE,SOFT,2,TRUE,RB,0 days 01:10:40.449000,58:33.0,1,Japan,5.807,233.8049277
0 days 00:52:45.339000,BOT,77,0 days 00:01:29.593000,11,4,,,0 days 00:00:31.357000,0 days 00:00:40.478000,0 days 00:00:17.758000,0 days 00:51:47.103000,0 days 00:52:27.581000,0 days 00:52:45.339000,283,294,263,293,TRUE,SOFT,2,TRUE,Kick Sauber,0 days 00:51:15.746000,39:08.3,1,Japan,5.807,233.3351936
0 days 01:23:38.424000,VER,1,0 days 00:01:33.660000,17,6,,,0 days 00:00:24.981000,0 days 00:00:28.168000,0 days 00:00:40.511000,0 days 01:22:29.745000,0 days 01:22:57.913000,0 days 01:23:38.424000,279,272,270,333,TRUE,SOFT,2,TRUE,Red Bull Racing,0 days 01:22:04.764000,11:08.8,1,China,5.451,209.5195388
