Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,Track,Year
0 days 01:40:25.684000,VER,1,0 days 00:01:23.636000,27,2,,,0 days 00:00:30.286000,0 days 00:00:29.961000,0 days 00:00:23.389000,0 days 01:39:32.334000,0 days 01:40:02.295000,0 days 01:40:25.684000,279,237,245,286,TRUE,HARD,4,TRUE,Red Bull Racing,0 days 01:39:02.048000,40:04.1,1,1,FALSE,,FALSE,TRUE,Hungary,2023
0 days 01:44:36.757000,VER,1,0 days 00:01:23.624000,30,2,,,0 days 00:00:30.068000,0 days 00:00:30.108000,0 days 00:00:23.448000,0 days 01:43:43.201000,0 days 01:44:13.309000,0 days 01:44:36.757000,277,236,246,290,TRUE,HARD,7,TRUE,Red Bull Racing,0 days 01:43:13.133000,44:15.2,1,1,FALSE,,FALSE,TRUE,Hungary,2023
0 days 01:46:00.347000,VER,1,0 days 00:01:23.590000,31,2,,,0 days 00:00:30.350000,0 days 00:00:29.744000,0 days 00:00:23.496000,0 days 01:45:07.107000,0 days 01:45:36.851000,0 days 01:46:00.347000,279,240,246,289,TRUE,HARD,8,TRUE,Red Bull Racing,0 days 01:44:36.757000,45:38.8,1,1,FALSE,,FALSE,TRUE,Hungary,2023
0 days 01:47:23.639000,VER,1,0 days 00:01:23.292000,32,2,,,0 days 00:00:30.190000,0 days 00:00:29.706000,0 days 00:00:23.396000,0 days 01:46:30.537000,0 days 01:47:00.243000,0 days 01:47:23.639000,281,238,247,,TRUE,HARD,9,TRUE,Red Bull Racing,0 days 01:46:00.347000,47:02.4,1,1,FALSE,,FALSE,TRUE,Hungary,2023
0 days 01:52:57.443000,VER,1,0 days 00:01:23.285000,36,2,,,0 days 00:00:30.034000,0 days 00:00:29.823000,0 days 00:00:23.428000,0 days 01:52:04.192000,0 days 01:52:34.015000,0 days 01:52:57.443000,281,239,247,,TRUE,HARD,13,TRUE,Red Bull Racing,0 days 01:51:34.158000,52:36.2,1,1,FALSE,,FALSE,TRUE,Hungary,2023
0 days 01:54:20.693000,VER,1,0 days 00:01:23.250000,37,2,,,0 days 00:00:30.110000,0 days 00:00:29.707000,0 days 00:00:23.433000,0 days 01:53:27.553000,0 days 01:53:57.260000,0 days 01:54:20.693000,,239,246,291,TRUE,HARD,14,TRUE,Red Bull Racing,0 days 01:52:57.443000,53:59.5,1,1,FALSE,,FALSE,TRUE,Hungary,2023
0 days 01:59:55.034000,VER,1,0 days 00:01:23.023000,41,2,,,0 days 00:00:30.087000,0 days 00:00:29.534000,0 days 00:00:23.402000,0 days 01:59:02.098000,0 days 01:59:31.632000,0 days 01:59:55.034000,282,244,246,306,TRUE,HARD,18,TRUE,Red Bull Racing,0 days 01:58:32.011000,59:34.0,1,1,FALSE,,FALSE,TRUE,Hungary,2023
0 days 02:16:57.158000,VER,1,0 days 00:01:20.504000,53,3,,,0 days 00:00:29.265000,0 days 00:00:28.662000,0 days 00:00:22.577000,0 days 02:16:05.919000,0 days 02:16:34.581000,0 days 02:16:57.158000,283,249,254,291,TRUE,MEDIUM,5,FALSE,Red Bull Racing,0 days 02:15:36.654000,16:38.7,1,1,FALSE,,FALSE,TRUE,Hungary,2023
0 days 01:05:00.106000,NOR,4,0 days 00:01:25.820000,2,1,,,0 days 00:00:30.556000,0 days 00:00:31.161000,0 days 00:00:24.103000,0 days 01:04:04.842000,0 days 01:04:36.003000,0 days 01:05:00.106000,276,233,244,289,TRUE,MEDIUM,2,TRUE,McLaren,0 days 01:03:34.286000,04:36.3,1,3,FALSE,,FALSE,TRUE,Hungary,2023
0 days 01:06:25.311000,NOR,4,0 days 00:01:25.205000,3,1,,,0 days 00:00:30.710000,0 days 00:00:30.705000,0 days 00:00:23.790000,0 days 01:05:30.816000,0 days 01:06:01.521000,0 days 01:06:25.311000,275,238,244,290,TRUE,MEDIUM,3,TRUE,McLaren,0 days 01:05:00.106000,06:02.1,1,3,FALSE,,FALSE,TRUE,Hungary,2023
